,t,c,symbol,returns,ma,ratio,position
0,2020-12-01T05:00:00Z,108.49,ABT,,,,
1,2020-12-02T05:00:00Z,108.15,ABT,-0.0031388504352909408,,,
2,2020-12-03T05:00:00Z,107.53,ABT,-0.005749273996633164,,,
3,2020-12-04T05:00:00Z,107.9,ABT,0.003434993861653801,,,
4,2020-12-07T05:00:00Z,107.18,ABT,-0.006695208197384339,,,
5,2020-12-08T05:00:00Z,106.8,ABT,-0.0035517375406097784,,,
6,2020-12-09T05:00:00Z,106.32,ABT,-0.004504512121104476,,,
7,2020-12-10T05:00:00Z,106.52,ABT,0.001879346540741622,,,
8,2020-12-11T05:00:00Z,107.02,ABT,0.004682971937427283,,,
9,2020-12-14T05:00:00Z,106.79,ABT,-0.0021514436997049913,,,
10,2020-12-15T05:00:00Z,107.45,ABT,0.006161333905065902,,,
11,2020-12-16T05:00:00Z,107.34,ABT,-0.0010242563398374926,,,
12,2020-12-17T05:00:00Z,108.78,ABT,0.013326127246132025,,,
13,2020-12-18T05:00:00Z,108.97,ABT,0.00174512099398072,,,
14,2020-12-21T05:00:00Z,108.09,ABT,-0.008108401560683376,,,
15,2020-12-22T05:00:00Z,108.28,ABT,0.001756251317988955,,,
16,2020-12-23T05:00:00Z,107.45,ABT,-0.007694841657580831,,,
17,2020-12-24T05:00:00Z,108.35,ABT,0.008341104893847984,,,
18,2020-12-28T05:00:00Z,107.79,ABT,-0.0051818381888306675,,,
19,2020-12-29T05:00:00Z,108.33,ABT,0.004997234163939268,,,
20,2020-12-30T05:00:00Z,108.44,ABT,0.0010149006729882615,107.71285714285713,1.0067507526625021,
21,2020-12-31T05:00:00Z,109.49,ABT,0.009636196254868779,107.7604761904762,1.0160497045917531,
22,2021-01-04T05:00:00Z,109.11,ABT,-0.0034766732183264537,107.8061904761905,1.0120940135074845,
23,2021-01-05T05:00:00Z,110.46,ABT,0.01229691680603473,107.94571428571429,1.0232921309653,
24,2021-01-06T05:00:00Z,110.2,ABT,-0.0023565677542274344,108.05523809523808,1.0198487546052286,
25,2021-01-07T05:00:00Z,111.3,ABT,0.009932361562684733,108.25142857142858,1.0281619510135134,
26,2021-01-08T05:00:00Z,111.61,ABT,0.0027813933861242646,108.48047619047618,1.0288487285401369,
27,2021-01-11T05:00:00Z,110.84,ABT,-0.006922931672845856,108.69571428571429,1.0197274172986186,
28,2021-01-12T05:00:00Z,108.84,ABT,-0.018208806079732298,108.8061904761905,1.000310731619787,
29,2021-01-13T05:00:00Z,112.15,ABT,0.029958347051172396,109.05047619047619,1.0284228360828975,
30,2021-01-14T05:00:00Z,110.04,ABT,-0.018993324909843956,109.20523809523812,1.0076439731218194,
31,2021-01-15T05:00:00Z,111.3,ABT,0.01138532222512545,109.38857142857142,1.0174737501958941,
32,2021-01-19T05:00:00Z,112.57,ABT,0.011345992085213474,109.63761904761904,1.026746120335825,
33,2021-01-20T05:00:00Z,112.89,ABT,0.0028386429067426278,109.83333333333333,1.0278300455235205,
34,2021-01-21T05:00:00Z,112.95,ABT,0.0005313496405570106,110.02285714285712,1.0266048613275165,
35,2021-01-22T05:00:00Z,112.84,ABT,-0.00097435678021629,110.24904761904762,1.0235009048777013,
36,2021-01-25T05:00:00Z,114.72,ABT,0.016523490717514022,110.55571428571429,1.037666851878174,
37,2021-01-26T05:00:00Z,114.73,ABT,8.716495974159244e-05,110.90238095238097,1.034513407329483,
38,2021-01-27T05:00:00Z,114.29,ABT,-0.003842463901545301,111.1852380952381,1.0279242276938099,
39,2021-01-28T05:00:00Z,120.39,ABT,0.05199739503742862,111.7852380952381,1.07697583376287,-1.0
40,2021-01-29T05:00:00Z,123.59,ABT,0.026233162654709652,112.51190476190476,1.0984615384615386,-1.0
41,2021-02-01T05:00:00Z,122.54,ABT,-0.008532128304135966,113.18333333333335,1.0826682373729934,-1.0
42,2021-02-02T05:00:00Z,120.24,ABT,-0.01894776185278957,113.6952380952381,1.0575640810856088,-1.0
43,2021-02-03T05:00:00Z,120.22,ABT,-0.0001663478337032842,114.22428571428571,1.0524907137586452,-1.0
44,2021-02-04T05:00:00Z,119.74,ABT,-0.0040006721138095,114.66619047619047,1.044248522626755,-1.0
45,2021-02-05T05:00:00Z,124.03,ABT,0.03520074633003212,115.32476190476191,1.0754845529395247,-1.0
46,2021-02-08T05:00:00Z,124.5,ABT,0.0037822440775237,115.95333333333333,1.073707813488185,-1.0
47,2021-02-09T05:00:00Z,125.15,ABT,0.005207301973021217,116.59809523809524,1.0733451498023328,-1.0
48,2021-02-10T05:00:00Z,125.29,ABT,0.0011180323796784464,117.28619047619048,1.0682417042561743,-1.0
49,2021-02-11T05:00:00Z,126.84,ABT,0.012295399412685093,118.14333333333332,1.0736111502976613,-1.0
50,2021-02-12T05:00:00Z,128.23,ABT,0.010899076800877872,118.90904761904763,1.0783872427505614,-1.0
51,2021-02-16T05:00:00Z,128.02,ABT,-0.0016390247571669292,119.76523809523808,1.068924522975504,-1.0
52,2021-02-17T05:00:00Z,127.24,ABT,-0.00611143483291432,120.52428571428572,1.0557208387165598,-1.0
53,2021-02-18T05:00:00Z,125.41,ABT,-0.014486697044985064,121.13571428571429,1.0352850993572733,-1.0
54,2021-02-19T05:00:00Z,123.04,ABT,-0.019078864078624136,121.61904761904762,1.0116836335160533,-1.0
55,2021-02-22T05:00:00Z,122.55,ABT,-0.003990395783212364,122.07619047619049,1.0038812607271024,-1.0
56,2021-02-23T05:00:00Z,120.8,ABT,-0.014382824473407219,122.45523809523809,0.9864829130955529,-1.0
57,2021-02-24T05:00:00Z,122.38,ABT,0.012994672533680252,122.82,0.9964175215762905,-1.0
58,2021-02-25T05:00:00Z,121.58,ABT,-0.006558475713818623,123.14619047619047,0.9872818601197957,-1.0
59,2021-02-26T05:00:00Z,119.78,ABT,-0.014915755484260274,123.40761904761905,0.9706045779376129,-1.0
60,2021-03-01T05:00:00Z,122.21,ABT,0.020084149613593283,123.49428571428572,0.9896004442079447,-1.0
61,2021-03-02T05:00:00Z,122.53,ABT,0.0026150215114455477,123.4438095238095,0.9925973645228986,-1.0
62,2021-03-03T05:00:00Z,119.18,ABT,-0.027720942642521784,123.28380952380952,0.9667125023175329,-1.0
63,2021-03-04T05:00:00Z,116.01,ABT,-0.026958561031517725,123.08238095238096,0.9425394528635486,1.0
