,t,c,symbol,returns,ma,ratio,position
0,2020-11-30T05:00:00Z,77.78,AEE,,,,
1,2020-12-01T05:00:00Z,78.51,AEE,0.009341676482562455,,,
2,2020-12-02T05:00:00Z,78.49,AEE,-0.00025477707144183626,,,
3,2020-12-03T05:00:00Z,77.91,AEE,-0.007416913795955438,,,
4,2020-12-04T05:00:00Z,77.08,AEE,-0.010710470796601257,,,
5,2020-12-07T05:00:00Z,78.2,AEE,0.014425804005099963,,,
6,2020-12-08T05:00:00Z,77.26,AEE,-0.012093290313130112,,,
7,2020-12-09T05:00:00Z,77.8,AEE,0.006965073946211042,,,
8,2020-12-10T05:00:00Z,77.34,AEE,-0.0059301450051956195,,,
9,2020-12-11T05:00:00Z,77.47,AEE,0.0016794784646601002,,,
10,2020-12-14T05:00:00Z,77.24,AEE,-0.0029733070834971898,,,
11,2020-12-15T05:00:00Z,78.73,AEE,0.019106819636061978,,,
12,2020-12-16T05:00:00Z,78.0,AEE,-0.00931545050678384,,,
13,2020-12-17T05:00:00Z,78.74,AEE,0.009442458825999367,,,
14,2020-12-18T05:00:00Z,78.86,AEE,0.0015228429338902671,,,
15,2020-12-21T05:00:00Z,77.08,AEE,-0.022830284903315956,,,
16,2020-12-22T05:00:00Z,76.55,AEE,-0.006899721442472639,,,
17,2020-12-23T05:00:00Z,75.72,AEE,-0.010901795762570998,,,
18,2020-12-24T05:00:00Z,76.47,AEE,0.00985618071501193,,,
19,2020-12-28T05:00:00Z,76.75,AEE,0.003654879411173262,,,
20,2020-12-29T05:00:00Z,76.57,AEE,-0.0023480313422750143,77.55,0.9873629916183108,
21,2020-12-30T05:00:00Z,76.97,AEE,0.0052103804211940385,77.51142857142857,0.9930148549522652,
22,2020-12-31T05:00:00Z,78.06,AEE,0.014062026206243416,77.49,1.0073557878435928,
23,2021-01-04T05:00:00Z,76.13,AEE,-0.02503535643434862,77.37761904761905,0.983876228514459,
24,2021-01-05T05:00:00Z,75.76,AEE,-0.004871956440298142,77.2752380952381,0.9803916735478624,
25,2021-01-06T05:00:00Z,76.39,AEE,0.008281348675446054,77.24238095238096,0.988964853984674,
26,2021-01-07T05:00:00Z,74.24,AEE,-0.028548709075323586,77.05380952380952,0.9634825384857829,
27,2021-01-08T05:00:00Z,75.0,AEE,0.01018502505836505,76.94619047619047,0.9747071237166357,
28,2021-01-11T05:00:00Z,75.04,AEE,0.0005331911616588414,76.81476190476191,0.976895561988953,
29,2021-01-12T05:00:00Z,74.24,AEE,-0.01071821622002389,76.66714285714285,0.9683418115415433,
30,2021-01-13T05:00:00Z,75.5,AEE,0.016829567777033816,76.57333333333334,0.9859829357478669,
31,2021-01-14T05:00:00Z,73.99,AEE,-0.020202707317519497,76.41857142857143,0.9682201409530219,
32,2021-01-15T05:00:00Z,74.39,AEE,0.005391575265790927,76.21190476190476,0.9760942234996407,
33,2021-01-19T05:00:00Z,72.99,AEE,-0.01899907873970985,75.97333333333333,0.9607318357318357,1.0
34,2021-01-20T05:00:00Z,72.54,AEE,-0.006184311608784299,75.67809523809524,0.9585336387203948,1.0
35,2021-01-21T05:00:00Z,71.74,AEE,-0.011089661750619761,75.33904761904762,0.952228655222107,1.0
36,2021-01-22T05:00:00Z,72.88,AEE,0.01576578084756619,75.13904761904762,0.9699351044412897,1.0
37,2021-01-25T05:00:00Z,75.08,AEE,0.029739958766605845,75.06904761904762,1.0001458974277648,1.0
38,2021-01-26T05:00:00Z,75.21,AEE,0.0017299891200028839,75.04476190476191,1.0022018604769216,1.0
39,2021-01-27T05:00:00Z,75.09,AEE,-0.0015968067265186292,74.97904761904762,1.001479778477797,1.0
