,t,c,symbol,returns,ma,ratio,position
0,2020-11-30T05:00:00Z,280.14,APD,,,,
1,2020-12-01T05:00:00Z,283.18,APD,0.010793259645924813,,,
2,2020-12-02T05:00:00Z,273.88,APD,-0.03339268360396286,,,
3,2020-12-03T05:00:00Z,267.25,APD,-0.02450550434770804,,,
4,2020-12-04T05:00:00Z,273.76,APD,0.02406726023872885,,,
5,2020-12-07T05:00:00Z,269.18,APD,-0.016871509338313828,,,
6,2020-12-08T05:00:00Z,268.23,APD,-0.0035354793902326875,,,
7,2020-12-09T05:00:00Z,270.57,APD,0.008686023430390044,,,
8,2020-12-10T05:00:00Z,268.82,APD,-0.006488834202724725,,,
9,2020-12-11T05:00:00Z,267.36,APD,-0.00544594579591795,,,
10,2020-12-14T05:00:00Z,265.4,APD,-0.007357942948977403,,,
11,2020-12-15T05:00:00Z,270.01,APD,0.017220873451450736,,,
12,2020-12-16T05:00:00Z,268.9,APD,-0.00411943207473886,,,
13,2020-12-17T05:00:00Z,268.6,APD,-0.001116279185681357,,,
14,2020-12-18T05:00:00Z,269.55,APD,0.0035306178085408035,,,
15,2020-12-21T05:00:00Z,264.49,APD,-0.018950458497398515,,,
16,2020-12-22T05:00:00Z,264.01,APD,-0.0018164621834673156,,,
17,2020-12-23T05:00:00Z,266.25,APD,0.008448735806823038,,,
18,2020-12-24T05:00:00Z,268.35,APD,0.00785638159920321,,,
19,2020-12-28T05:00:00Z,268.6,APD,0.0009311854662987784,,,
20,2020-12-29T05:00:00Z,268.73,APD,0.00048387397888216555,269.7742857142857,0.9961290390908802,
21,2020-12-30T05:00:00Z,271.1,APD,0.008780598436600506,269.3438095238095,1.0065202555770463,
22,2020-12-31T05:00:00Z,273.22,APD,0.00778957495472099,268.8695238095238,1.0161806222171845,
23,2021-01-04T05:00:00Z,268.2,APD,-0.01854436061176301,268.5990476190476,0.9985143371780916,
24,2021-01-05T05:00:00Z,282.39,APD,0.05155612337966087,269.32,1.0485296301797118,
25,2021-01-06T05:00:00Z,289.97,APD,0.02648837512627722,270.0919047619048,1.073597523241648,-1.0
26,2021-01-07T05:00:00Z,285.29,APD,-0.016271262572050027,270.8590476190476,1.0532784579573984,-1.0
27,2021-01-08T05:00:00Z,285.74,APD,0.0015760996555460594,271.6928571428572,1.0517022898756474,-1.0
28,2021-01-11T05:00:00Z,283.13,APD,-0.009176150311500209,272.29095238095243,1.0398068592594405,-1.0
29,2021-01-12T05:00:00Z,283.06,APD,-0.00024726681981857013,272.9690476190476,1.0369673868483258,-1.0
30,2021-01-13T05:00:00Z,290.67,APD,0.026529713759329,274.0790476190476,1.0605334575009644,-1.0
31,2021-01-14T05:00:00Z,286.25,APD,-0.015323048196572486,275.07190476190476,1.0406369936172533,-1.0
32,2021-01-15T05:00:00Z,286.91,APD,0.002303022861732451,275.8766666666667,1.039993716999142,-1.0
33,2021-01-19T05:00:00Z,285.66,APD,-0.004366285295700045,276.6747619047619,1.032475813960693,-1.0
34,2021-01-20T05:00:00Z,286.56,APD,0.003145645877919989,277.53000000000003,1.0325370230245379,-1.0
35,2021-01-21T05:00:00Z,282.61,APD,-0.013880082983858344,278.1519047619048,1.0160275560288228,-1.0
36,2021-01-22T05:00:00Z,283.6,APD,0.0034969393294286277,279.06190476190477,1.01626196611095,-1.0
37,2021-01-25T05:00:00Z,279.02,APD,-0.01628133081801053,279.7766666666667,0.9972954618564805,-1.0
38,2021-01-26T05:00:00Z,277.99,APD,-0.0036983220193258504,280.3357142857143,0.9916324814635514,-1.0
