,t,c,symbol,returns,ma,ratio,position
0,2020-11-30T05:00:00Z,76.25,ED,,,,
1,2020-12-01T05:00:00Z,76.91,ED,0.008618491581441567,,,
2,2020-12-02T05:00:00Z,77.03,ED,0.001559049295911663,,,
3,2020-12-03T05:00:00Z,75.91,ED,-0.01464652833619784,,,
4,2020-12-04T05:00:00Z,75.31,ED,-0.007935499915416422,,,
5,2020-12-07T05:00:00Z,74.84,ED,-0.006260426707370925,,,
6,2020-12-08T05:00:00Z,74.56,ED,-0.003748331028553764,,,
7,2020-12-09T05:00:00Z,74.24,ED,-0.004301081899390269,,,
8,2020-12-10T05:00:00Z,73.35,ED,-0.012060583888954035,,,
9,2020-12-11T05:00:00Z,73.16,ED,-0.00259368106632607,,,
10,2020-12-14T05:00:00Z,72.41,ED,-0.010304412121935336,,,
11,2020-12-15T05:00:00Z,73.0,ED,0.008115029747661318,,,
12,2020-12-16T05:00:00Z,71.75,ED,-0.01727158650866034,,,
13,2020-12-17T05:00:00Z,71.62,ED,-0.0018134900694439793,,,
14,2020-12-18T05:00:00Z,71.15,ED,-0.0065840400344248096,,,
15,2020-12-21T05:00:00Z,69.95,ED,-0.01700962342437151,,,
16,2020-12-22T05:00:00Z,69.65,ED,-0.00429800088567589,,,
17,2020-12-23T05:00:00Z,70.07,ED,0.0060120421566276505,,,
18,2020-12-24T05:00:00Z,70.44,ED,0.005266541245563694,,,
19,2020-12-28T05:00:00Z,71.26,ED,0.01157387654968467,,,
20,2020-12-29T05:00:00Z,70.76,ED,-0.0070412908861055,73.02952380952381,0.9689232013145369,
21,2020-12-30T05:00:00Z,71.02,ED,0.0036676582233567956,72.7804761904762,0.9758111476782757,
22,2020-12-31T05:00:00Z,72.27,ED,0.017447577779948098,72.55952380952381,0.9960098441345364,
23,2021-01-04T05:00:00Z,70.66,ED,-0.022529463363890834,72.25619047619047,0.9779092910147755,
24,2021-01-05T05:00:00Z,69.87,ED,-0.011243269366639552,71.96857142857144,0.9708404462265274,
25,2021-01-06T05:00:00Z,71.36,ED,0.02110111570739459,71.78047619047618,0.9941421927968211,
26,2021-01-07T05:00:00Z,69.91,ED,-0.020528787747860378,71.54571428571428,0.9771374945090052,
27,2021-01-08T05:00:00Z,69.93,ED,0.0002860411918819139,71.3252380952381,0.9804383675049905,
28,2021-01-11T05:00:00Z,68.73,ED,-0.01730895658226128,71.06285714285715,0.9671719202315856,
29,2021-01-12T05:00:00Z,67.92,ED,-0.011855243130422188,70.80428571428571,0.9592639670722112,1.0
30,2021-01-13T05:00:00Z,69.61,ED,0.024577693177483262,70.63523809523811,0.9854854584923212,1.0
31,2021-01-14T05:00:00Z,68.46,ED,-0.016658602078535978,70.44714285714285,0.9717924279601727,1.0
32,2021-01-15T05:00:00Z,69.6,ED,0.01651493423833461,70.2852380952381,0.990250611454007,1.0
33,2021-01-19T05:00:00Z,69.48,ED,-0.0017256259674693908,70.17714285714285,0.9900659555410798,1.0
34,2021-01-20T05:00:00Z,69.94,ED,0.006598790262325238,70.09714285714286,0.9977582130920355,1.0
35,2021-01-21T05:00:00Z,69.15,ED,-0.011359673524462544,70.00190476190475,0.9878302631220921,1.0
36,2021-01-22T05:00:00Z,68.83,ED,-0.0046383617004943645,69.94857142857143,0.9840086594232498,1.0
37,2021-01-25T05:00:00Z,70.64,ED,0.02595685988543206,69.99571428571429,1.0092046451823582,1.0
38,2021-01-26T05:00:00Z,70.28,ED,-0.005109292976808177,70.00571428571428,1.003918047506326,1.0
39,2021-01-27T05:00:00Z,71.54,ED,0.01776947051197464,70.05809523809523,1.0211525128804666,1.0
40,2021-01-28T05:00:00Z,70.21,ED,-0.018765982801713932,70.00809523809524,1.0028840202153493,1.0
41,2021-01-29T05:00:00Z,70.78,ED,0.008085723888159535,70.0090476190476,1.0110121820989126,1.0
42,2021-02-01T05:00:00Z,70.75,ED,-0.0004239383939701469,69.99619047619046,1.010769293566997,1.0
43,2021-02-02T05:00:00Z,70.26,ED,-0.006949889685666122,69.90047619047618,1.005143367100163,1.0
44,2021-02-03T05:00:00Z,70.51,ED,0.0035518968932688466,69.89333333333333,1.0088229683326975,1.0
45,2021-02-04T05:00:00Z,70.59,ED,0.0011339476764309353,69.92761904761905,1.0094723796033995,1.0
46,2021-02-05T05:00:00Z,71.5,ED,0.012808958292580996,69.93428571428572,1.0223883645871634,1.0
47,2021-02-08T05:00:00Z,71.28,ED,-0.0030816665374073793,69.99952380952381,1.0182926414465405,1.0
48,2021-02-09T05:00:00Z,71.35,ED,0.0009815607602909893,70.06714285714285,1.0183089689481517,1.0
49,2021-02-10T05:00:00Z,72.31,ED,0.013365088264015057,70.23761904761903,1.029505284781592,1.0
50,2021-02-11T05:00:00Z,71.82,ED,-0.006799443388923798,70.42333333333333,1.0198324418989917,1.0
51,2021-02-12T05:00:00Z,71.06,ED,-0.010638398205055744,70.49238095238096,1.0080522042233542,1.0
52,2021-02-16T05:00:00Z,70.05,ED,-0.014315317809864503,70.56809523809524,0.9926582227230706,1.0
53,2021-02-17T05:00:00Z,70.16,ED,0.001569075280911214,70.59476190476191,0.9938414424380602,1.0
