,t,c,symbol,returns,ma,ratio,position
0,2020-11-30T05:00:00Z,245.32,EL,,,,
1,2020-12-01T05:00:00Z,247.17,EL,0.0075128782378248715,,,
2,2020-12-02T05:00:00Z,245.32,EL,-0.0075128782378248715,,,
3,2020-12-03T05:00:00Z,245.46,EL,0.000570520411579345,,,
4,2020-12-04T05:00:00Z,244.12,EL,-0.005474093493067933,,,
5,2020-12-07T05:00:00Z,245.76,EL,0.006695542283012834,,,
6,2020-12-08T05:00:00Z,248.48,EL,0.01100690944106919,,,
7,2020-12-09T05:00:00Z,246.65,EL,-0.0073920317206290775,,,
8,2020-12-10T05:00:00Z,246.53,EL,-0.00048663774836033014,,,
9,2020-12-11T05:00:00Z,245.75,EL,-0.003168930904111633,,,
10,2020-12-14T05:00:00Z,247.45,EL,0.006893782370619661,,,
11,2020-12-15T05:00:00Z,250.4,EL,0.01185109782804794,,,
12,2020-12-16T05:00:00Z,258.68,EL,0.0325321373524492,,,
13,2020-12-17T05:00:00Z,263.83,EL,0.019713179755965093,,,
14,2020-12-18T05:00:00Z,261.31,EL,-0.009597514352551961,,,
15,2020-12-21T05:00:00Z,254.52,EL,-0.026328023617214313,,,
16,2020-12-22T05:00:00Z,257.46,EL,0.01148494986689741,,,
17,2020-12-23T05:00:00Z,259.63,EL,0.008393172325323661,,,
18,2020-12-24T05:00:00Z,260.95,EL,0.005071277532610274,,,
19,2020-12-28T05:00:00Z,263.82,EL,0.010938234331351104,,,
20,2020-12-29T05:00:00Z,262.75,EL,-0.004064042663713074,252.44571428571427,1.0408178278781295,
21,2020-12-30T05:00:00Z,262.62,EL,-0.0004948893262017862,253.2695238095238,1.0369190736012455,
22,2020-12-31T05:00:00Z,266.19,EL,0.013502219084497113,254.17523809523811,1.047269600275775,
23,2021-01-04T05:00:00Z,254.99,EL,-0.04298601081215914,254.63571428571427,1.001391343375691,
24,2021-01-05T05:00:00Z,258.83,EL,0.014947146834444425,255.27238095238093,1.0139365607604949,
25,2021-01-06T05:00:00Z,258.34,EL,-0.001894928733771728,255.94952380952378,1.009339639140158,
26,2021-01-07T05:00:00Z,258.27,EL,-0.0002709974658969827,256.54523809523806,1.0067230322323177,
27,2021-01-08T05:00:00Z,260.73,EL,0.009479839779506172,257.12857142857143,1.0140063336852048,
28,2021-01-11T05:00:00Z,258.11,EL,-0.010099538470858427,257.6742857142857,1.0016909498148272,
29,2021-01-12T05:00:00Z,255.41,EL,-0.010515753546874507,258.0971428571428,0.989588637722231,
30,2021-01-13T05:00:00Z,256.66,EL,0.004882154716569609,258.6166666666667,0.992434104530515,
31,2021-01-14T05:00:00Z,250.02,EL,-0.026211337153898562,258.7390476190476,0.9663017712274917,
32,2021-01-15T05:00:00Z,249.13,EL,-0.0035660660850025394,258.67857142857144,0.9630871185972663,
33,2021-01-19T05:00:00Z,248.44,EL,-0.0027734808863124627,258.19095238095235,0.9622335628300207,
34,2021-01-20T05:00:00Z,255.22,EL,0.026924550614728204,257.7809523809524,0.990065393283334,
35,2021-01-21T05:00:00Z,255.27,EL,0.00019589022374599807,257.49333333333334,0.9913654722452362,
36,2021-01-22T05:00:00Z,249.83,EL,-0.021541121972193267,257.27,0.9710809655226028,
37,2021-01-25T05:00:00Z,250.02,EL,0.0007602281050340665,256.9157142857143,0.9731596243348292,
38,2021-01-26T05:00:00Z,245.31,EL,-0.019018197820421356,256.2338095238095,0.9573678058172318,
39,2021-01-27T05:00:00Z,235.85,EL,-0.0393267071117247,255.0385714285714,0.9247620808057045,1.0
40,2021-01-28T05:00:00Z,245.08,EL,0.03838867812718316,254.1461904761905,0.9643268684877657,1.0
41,2021-01-29T05:00:00Z,236.65,EL,-0.03500243150519733,252.90333333333334,0.935733020521675,1.0
42,2021-02-01T05:00:00Z,241.85,EL,0.021735442916735792,251.91428571428574,0.960048769422706,1.0
43,2021-02-02T05:00:00Z,246.86,EL,0.020503675046790626,250.99380952380952,0.9835302331493663,1.0
44,2021-02-03T05:00:00Z,248.62,EL,0.007104252047786197,250.6904761904762,0.9917409060689524,1.0
45,2021-02-04T05:00:00Z,253.05,EL,0.01766147129651774,250.4152380952381,1.0105215717893328,1.0
46,2021-02-05T05:00:00Z,272.81,EL,0.0751884845288684,251.10428571428574,1.086441034743675,-1.0
47,2021-02-08T05:00:00Z,280.54,EL,0.027940735102570002,252.16476190476195,1.1125265793717636,-1.0
48,2021-02-09T05:00:00Z,279.35,EL,-0.004250841386367554,253.05142857142857,1.1039257971276308,-1.0
49,2021-02-10T05:00:00Z,284.4,EL,0.01791622202392773,254.30333333333337,1.1183494776579148,-1.0
50,2021-02-11T05:00:00Z,289.76,EL,0.018671296206017374,255.93904761904764,1.1321445582281495,-1.0
51,2021-02-12T05:00:00Z,290.25,EL,0.0016896264428982732,257.5385714285714,1.1270156481414713,-1.0
52,2021-02-16T05:00:00Z,295.74,EL,0.018738069367340238,259.71571428571434,1.1387066077744346,-1.0
53,2021-02-17T05:00:00Z,289.59,EL,-0.021014560416707795,261.64238095238096,1.1068161012214053,-1.0
54,2021-02-18T05:00:00Z,287.96,EL,-0.005644547927531107,263.5242857142857,1.092726612348008,-1.0
55,2021-02-19T05:00:00Z,285.16,EL,-0.009771155351674388,264.95000000000005,1.0762785431213435,-1.0
56,2021-02-22T05:00:00Z,285.45,EL,0.0010164561608396738,266.38714285714286,1.0715607252602282,-1.0
57,2021-02-23T05:00:00Z,291.9,EL,0.02234439544980127,268.3904761904762,1.0875944785493772,-1.0
58,2021-02-24T05:00:00Z,294.34,EL,0.008324283875897898,270.5009523809524,1.0881292557723587,-1.0
59,2021-02-25T05:00:00Z,289.62,EL,-0.016165842835510702,272.61095238095237,1.0623931190969864,-1.0
60,2021-02-26T05:00:00Z,285.86,EL,-0.013067538419487157,274.9923809523809,1.039519709636977,-1.0
61,2021-03-01T05:00:00Z,293.95,EL,0.0279075043672945,277.3195238095238,1.0599686454167532,-1.0
62,2021-03-02T05:00:00Z,289.54,EL,-0.015116228122366238,279.83809523809526,1.03466970697342,-1.0
63,2021-03-03T05:00:00Z,289.54,EL,0.0,282.1090476190476,1.0263407091820287,-1.0
64,2021-03-04T05:00:00Z,285.19,EL,-0.015137831914086242,283.9342857142857,1.004422552502088,-1.0
65,2021-03-05T05:00:00Z,292.89,EL,0.026641487093878702,286.042380952381,1.023939176512305,-1.0
66,2021-03-08T05:00:00Z,280.07,EL,-0.044757539981232775,287.3290476190476,0.9747361163822463,-1.0
67,2021-03-09T05:00:00Z,280.02,EL,-0.0001785427346776558,287.672380952381,0.973398972375983,-1.0
68,2021-03-10T05:00:00Z,285.25,EL,0.01850495955240561,287.89666666666665,0.9908068867301926,-1.0
69,2021-03-11T05:00:00Z,291.64,EL,0.022154176196044872,288.48190476190473,1.0109472905785954,-1.0
70,2021-03-12T05:00:00Z,289.21,EL,-0.008367097104819088,288.71095238095234,1.0017285371924136,-1.0
71,2021-03-15T04:00:00Z,289.55,EL,0.0011749258383879635,288.7009523809524,1.002940924205637,-1.0
72,2021-03-16T04:00:00Z,288.92,EL,-0.0021781604891524253,288.63761904761907,1.0009783234538612,-1.0
73,2021-03-17T04:00:00Z,290.74,EL,0.006279563815532185,288.39952380952377,1.0081153954748623,-1.0
74,2021-03-18T04:00:00Z,286.99,EL,-0.012982025051170965,288.2757142857143,0.995539984043054,-1.0
75,2021-03-19T04:00:00Z,285.22,EL,-0.006186559638386768,288.1452380952381,0.9898480429016453,-1.0
