,t,c,symbol,returns,ma,ratio,position
0,2020-11-30T05:00:00Z,215.6,GNRC,,,,
1,2020-12-01T05:00:00Z,213.02,GNRC,-0.012038781019822586,,,
2,2020-12-02T05:00:00Z,210.74,GNRC,-0.010760911843638254,,,
3,2020-12-03T05:00:00Z,207.58,GNRC,-0.01510833863423855,,,
4,2020-12-04T05:00:00Z,205.26,GNRC,-0.011239339319574881,,,
5,2020-12-07T05:00:00Z,208.91,GNRC,0.017626068993389588,,,
6,2020-12-08T05:00:00Z,216.87,GNRC,0.0373945584693578,,,
7,2020-12-09T05:00:00Z,209.43,GNRC,-0.034908541029896156,,,
8,2020-12-10T05:00:00Z,211.27,GNRC,0.008747381661724063,,,
9,2020-12-11T05:00:00Z,217.28,GNRC,0.028049908058187967,,,
10,2020-12-14T05:00:00Z,218.06,GNRC,0.003583409907903956,,,
11,2020-12-15T05:00:00Z,224.4,GNRC,0.02865991937030543,,,
12,2020-12-16T05:00:00Z,220.44,GNRC,-0.017804624633506627,,,
13,2020-12-17T05:00:00Z,218.6,GNRC,-0.008381973272595822,,,
14,2020-12-18T05:00:00Z,216.79,GNRC,-0.008314432702013264,,,
15,2020-12-21T05:00:00Z,230.29,GNRC,0.06041024121949956,,,
16,2020-12-22T05:00:00Z,227.31,GNRC,-0.013024659648532833,,,
17,2020-12-23T05:00:00Z,227.01,GNRC,-0.0013206552368520974,,,
18,2020-12-24T05:00:00Z,233.2,GNRC,0.02690238510179732,,,
19,2020-12-28T05:00:00Z,233.04,GNRC,-0.0006863418251583653,,,
20,2020-12-29T05:00:00Z,221.37,GNRC,-0.0513746029127935,218.40333333333334,1.0135834312663117,
21,2020-12-30T05:00:00Z,229.19,GNRC,0.03471584413293005,219.05047619047616,1.0462885266713913,
22,2020-12-31T05:00:00Z,227.41,GNRC,-0.007796798147976958,219.73571428571427,1.0349250723271464,
23,2021-01-04T05:00:00Z,224.56,GNRC,-0.012611623669711136,220.39380952380955,1.0189033915480297,
24,2021-01-05T05:00:00Z,227.98,GNRC,0.015114973755005146,221.3652380952381,1.0298816650783986,
25,2021-01-06T05:00:00Z,246.29,GNRC,0.07725179760040124,223.3190476190476,1.1028615902936223,
26,2021-01-07T05:00:00Z,254.5,GNRC,0.032791132581543536,225.49,1.1286531553505699,
27,2021-01-08T05:00:00Z,252.5,GNRC,-0.007889587275162313,227.18666666666667,1.1114208580315745,
28,2021-01-11T05:00:00Z,260.8,GNRC,0.03234258133708323,229.63285714285715,1.135725972515133,
29,2021-01-12T05:00:00Z,259.05,GNRC,-0.006732736791700944,231.90809523809523,1.1170373321122695,
30,2021-01-13T05:00:00Z,252.63,GNRC,-0.025095125550786967,233.59142857142857,1.081503724451729,
31,2021-01-14T05:00:00Z,253.06,GNRC,0.0017006470511073957,235.2580952380952,1.0756696799057572,
32,2021-01-15T05:00:00Z,252.81,GNRC,-0.0009883963087462533,236.61095238095237,1.068462797076978,
33,2021-01-19T05:00:00Z,267.46,GNRC,0.056331803992279106,238.85000000000002,1.1197822901402552,
34,2021-01-20T05:00:00Z,268.79,GNRC,0.004960383131366264,241.24,1.1142016249378213,
35,2021-01-21T05:00:00Z,272.33,GNRC,0.013084160638887177,243.8847619047619,1.1166339293733574,
36,2021-01-22T05:00:00Z,277.61,GNRC,0.0192026848236857,246.13809523809522,1.1278627947919289,
37,2021-01-25T05:00:00Z,269.02,GNRC,-0.031431524758153806,248.1242857142857,1.0842147080668099,
38,2021-01-26T05:00:00Z,264.81,GNRC,-0.01577313858018492,249.9242857142857,1.0595608955855202,
39,2021-01-27T05:00:00Z,248.81,GNRC,-0.062323034716895265,250.667619047619,0.9925893138703882,
40,2021-01-28T05:00:00Z,252.93,GNRC,0.016423217619338182,251.6147619047619,1.005227189713678,
41,2021-01-29T05:00:00Z,246.42,GNRC,-0.026075373406171387,252.80761904761906,0.9747332810946022,
42,2021-02-01T05:00:00Z,258.73,GNRC,0.04874764970967771,254.21428571428572,1.0177634166900815,
43,2021-02-02T05:00:00Z,266.99,GNRC,0.03142615760914058,256.0990476190476,1.0425263290988607,
44,2021-02-03T05:00:00Z,264.3,GNRC,-0.010126382905096598,257.99142857142857,1.0244526396225788,
45,2021-02-04T05:00:00Z,262.24,GNRC,-0.007824706614724342,259.62285714285713,1.010080556411498,
46,2021-02-05T05:00:00Z,270.58,GNRC,0.03130768817969454,260.7795238095238,1.0375814636337573,
47,2021-02-08T05:00:00Z,279.0,GNRC,0.030643978646151204,261.9461904761905,1.0651042471463603,
48,2021-02-09T05:00:00Z,275.56,GNRC,-0.012406391096369873,263.0442857142857,1.047580255361672,
49,2021-02-10T05:00:00Z,277.54,GNRC,0.007159676217868949,263.8414285714286,1.0519197136808365,
50,2021-02-11T05:00:00Z,316.11,GNRC,0.13012518733668177,266.5585714285714,1.1858932102834545,-1.0
51,2021-02-12T05:00:00Z,326.84,GNRC,0.033380500236960486,270.09238095238095,1.2101044792434335,-1.0
