,t,c,symbol,returns,ma,ratio,position
0,2020-11-30T05:00:00Z,85.1,LYB,,,,
1,2020-12-01T05:00:00Z,85.76,LYB,0.007725661743163137,,,
2,2020-12-02T05:00:00Z,85.92,LYB,0.0018639334380630146,,,
3,2020-12-03T05:00:00Z,85.63,LYB,-0.003380941722453734,,,
4,2020-12-04T05:00:00Z,89.26,LYB,0.04151777016302294,,,
5,2020-12-07T05:00:00Z,87.11,LYB,-0.024381771370323158,,,
6,2020-12-08T05:00:00Z,87.89,LYB,0.0089143447457527,,,
7,2020-12-09T05:00:00Z,88.54,LYB,0.007368394727441441,,,
8,2020-12-10T05:00:00Z,88.21,LYB,-0.003734092033319314,,,
9,2020-12-11T05:00:00Z,88.5,LYB,0.003282216743207833,,,
10,2020-12-14T05:00:00Z,87.1,LYB,-0.015945668155426418,,,
11,2020-12-15T05:00:00Z,89.01,LYB,0.021691839112382816,,,
12,2020-12-16T05:00:00Z,89.08,LYB,0.0007861194183274023,,,
13,2020-12-17T05:00:00Z,90.1,LYB,0.011385322225124561,,,
14,2020-12-18T05:00:00Z,90.93,LYB,0.009169815123529546,,,
15,2020-12-21T05:00:00Z,90.39,LYB,-0.005956337927501387,,,
16,2020-12-22T05:00:00Z,89.81,LYB,-0.006437314127461846,,,
17,2020-12-23T05:00:00Z,90.63,LYB,0.009088956383831892,,,
18,2020-12-24T05:00:00Z,90.61,LYB,-0.00022070183272049348,,,
19,2020-12-28T05:00:00Z,90.6,LYB,-0.00011036918503570803,,,
20,2020-12-29T05:00:00Z,89.49,LYB,-0.012327325854166737,88.55571428571429,1.0105502589169044,
21,2020-12-30T05:00:00Z,91.07,LYB,0.01750155438496037,88.84,1.0251013057181448,
22,2020-12-31T05:00:00Z,91.66,LYB,0.0064576375012501686,89.12095238095237,1.028489906707845,
23,2021-01-04T05:00:00Z,89.29,LYB,-0.026196579551852395,89.28142857142858,1.0000960046082212,
24,2021-01-05T05:00:00Z,92.34,LYB,0.033587917549717794,89.60095238095238,1.0305694029612782,
25,2021-01-06T05:00:00Z,96.81,LYB,0.04727287765313726,89.96047619047619,1.0761392569223522,-1.0
26,2021-01-07T05:00:00Z,97.47,LYB,0.0067943436171384874,90.45380952380953,1.0775665559375214,-1.0
27,2021-01-08T05:00:00Z,96.75,LYB,-0.00741430643922758,90.87571428571428,1.064640875292786,-1.0
28,2021-01-11T05:00:00Z,96.98,LYB,0.0023744397673146622,91.27761904761904,1.0624729370888395,-1.0
29,2021-01-12T05:00:00Z,99.21,LYB,0.0227340439846051,91.80142857142857,1.0807021365991814,-1.0
30,2021-01-13T05:00:00Z,97.14,LYB,-0.021085578744211908,92.21285714285713,1.0534322762552482,-1.0
31,2021-01-14T05:00:00Z,98.87,LYB,0.017652618991442992,92.77333333333334,1.0657157229088818,-1.0
32,2021-01-15T05:00:00Z,94.91,LYB,-0.04087678176664156,93.05428571428573,1.0199422763978014,-1.0
33,2021-01-19T05:00:00Z,93.82,LYB,-0.011551021242088844,93.28,1.0057890222984562,-1.0
34,2021-01-20T05:00:00Z,94.38,LYB,0.005951133397929631,93.48380952380951,1.0095865848937429,-1.0
35,2021-01-21T05:00:00Z,92.62,LYB,-0.018824085245634947,93.56428571428572,0.9899076265363769,-1.0
36,2021-01-22T05:00:00Z,91.48,LYB,-0.012384731898025692,93.61619047619048,0.9771813992288676,-1.0
37,2021-01-25T05:00:00Z,89.98,LYB,-0.016532945741554173,93.62428571428572,0.9610754230434716,-1.0
38,2021-01-26T05:00:00Z,87.89,LYB,-0.023501390836472957,93.49380952380952,0.940062239924212,-1.0
39,2021-01-27T05:00:00Z,86.06,LYB,-0.02104130516609981,93.27714285714286,0.9226268876160136,1.0
40,2021-01-28T05:00:00Z,87.25,LYB,0.013732833672082556,93.11761904761904,0.9369870159092188,1.0
41,2021-01-29T05:00:00Z,85.76,LYB,-0.017224863760044506,92.94,0.9227458575425006,1.0
42,2021-02-01T05:00:00Z,86.75,LYB,0.01147772150447679,92.73428571428572,0.9354684659703607,1.0
43,2021-02-02T05:00:00Z,88.84,LYB,0.023806580199257965,92.60000000000001,0.9593952483801296,1.0
44,2021-02-03T05:00:00Z,89.23,LYB,0.004380306885833463,92.59714285714286,0.9636366441420594,1.0
45,2021-02-04T05:00:00Z,90.9,LYB,0.018542695271372978,92.52857142857144,0.9823992589161649,1.0
46,2021-02-05T05:00:00Z,93.26,LYB,0.02563129019674193,92.35952380952382,1.009749684205099,1.0
47,2021-02-08T05:00:00Z,95.52,LYB,0.023944358264117227,92.26666666666668,1.0352601156069363,1.0
48,2021-02-09T05:00:00Z,94.71,LYB,-0.008516058406281779,92.16952380952381,1.0275630825187543,1.0
49,2021-02-10T05:00:00Z,95.47,LYB,0.007992470771931437,92.09761904761905,1.036617460768853,1.0
