,t,c,symbol,returns,ma,ratio,position
0,2020-11-30T05:00:00Z,87.06,PCAR,,,,
1,2020-12-01T05:00:00Z,87.28,PCAR,0.002523805400663548,,,
2,2020-12-02T05:00:00Z,87.15,PCAR,-0.0014905695587845713,,,
3,2020-12-03T05:00:00Z,86.25,PCAR,-0.010380716054561034,,,
4,2020-12-04T05:00:00Z,86.7,PCAR,0.005203827875027045,,,
5,2020-12-07T05:00:00Z,86.31,PCAR,-0.004508417554930588,,,
6,2020-12-08T05:00:00Z,86.41,PCAR,0.0011579436217417083,,,
7,2020-12-09T05:00:00Z,87.38,PCAR,0.011163013669982291,,,
8,2020-12-10T05:00:00Z,85.75,PCAR,-0.018830337477240278,,,
9,2020-12-11T05:00:00Z,85.46,PCAR,-0.003387655830170644,,,
10,2020-12-14T05:00:00Z,84.46,PCAR,-0.011770380710081518,,,
11,2020-12-15T05:00:00Z,87.29,PCAR,0.032957859241460774,,,
12,2020-12-16T05:00:00Z,86.89,PCAR,-0.004592957896143446,,,
13,2020-12-17T05:00:00Z,85.77,PCAR,-0.012973655848784738,,,
14,2020-12-18T05:00:00Z,86.01,PCAR,0.0027942735610579916,,,
15,2020-12-21T05:00:00Z,85.85,PCAR,-0.0018619812199034413,,,
16,2020-12-22T05:00:00Z,84.87,PCAR,-0.011480913361898715,,,
17,2020-12-23T05:00:00Z,85.09,PCAR,0.002588845879880175,,,
18,2020-12-24T05:00:00Z,86.11,PCAR,0.011916028846608029,,,
19,2020-12-28T05:00:00Z,85.58,PCAR,-0.006173937719403,,,
20,2020-12-29T05:00:00Z,85.32,PCAR,-0.0030427173855214207,86.14238095238095,0.9904532363362981,
21,2020-12-30T05:00:00Z,85.87,PCAR,0.006425631081243388,86.08571428571429,0.99749419183538,
22,2020-12-31T05:00:00Z,86.28,PCAR,0.004763296836562958,86.03809523809525,1.0028116006198804,
23,2021-01-04T05:00:00Z,84.72,PCAR,-0.01824612022780503,85.92238095238095,0.9860061960684339,
24,2021-01-05T05:00:00Z,85.45,PCAR,0.008579708268449338,85.88428571428571,0.9949433623313761,
25,2021-01-06T05:00:00Z,88.81,PCAR,0.03856784670881286,85.9847619047619,1.0328574276726774,
26,2021-01-07T05:00:00Z,88.4,PCAR,-0.004627286626814886,86.08428571428571,1.0269005459765348,
27,2021-01-08T05:00:00Z,87.8,PCAR,-0.006810469002527242,86.15047619047618,1.0191470074509719,
28,2021-01-11T05:00:00Z,88.22,PCAR,0.004772194035722599,86.19047619047619,1.023546961325967,
29,2021-01-12T05:00:00Z,89.46,PCAR,0.013957903327908028,86.36714285714285,1.0358105761119474,
30,2021-01-13T05:00:00Z,88.95,PCAR,-0.005717183892857136,86.53333333333333,1.0279275808936827,
31,2021-01-14T05:00:00Z,89.26,PCAR,0.003479045089279431,86.76190476190476,1.0287925356750824,
32,2021-01-15T05:00:00Z,88.16,PCAR,-0.012400113796519285,86.80333333333333,1.015629200107523,
33,2021-01-19T05:00:00Z,89.21,PCAR,0.011839795521087382,86.91380952380952,1.0264191673195666,
34,2021-01-20T05:00:00Z,89.39,PCAR,0.002015678174069002,87.08619047619047,1.0264543610325843,
35,2021-01-21T05:00:00Z,98.74,PCAR,0.09948131373095581,87.69238095238094,1.1259815154707473,-1.0
36,2021-01-22T05:00:00Z,98.85,PCAR,0.0011134167859090383,88.31142857142856,1.119334174512278,-1.0
37,2021-01-25T05:00:00Z,97.935,PCAR,-0.00929955630991941,88.93357142857141,1.1012151927200882,-1.0
38,2021-01-26T05:00:00Z,97.81,PCAR,-0.0012771720043049939,89.53928571428571,1.0923696701368115,-1.0
39,2021-01-27T05:00:00Z,96.4,PCAR,-0.014520619685901792,90.02928571428572,1.0707626883315746,-1.0
40,2021-01-28T05:00:00Z,93.55,PCAR,-0.030010148896400857,90.40880952380952,1.0347442964102214,-1.0
41,2021-01-29T05:00:00Z,91.22,PCAR,-0.025221881436544358,90.6897619047619,1.0058467249676424,-1.0
42,2021-02-01T05:00:00Z,91.18,PCAR,-0.0004385964982587254,90.94261904761905,1.002610227799319,-1.0
43,2021-02-02T05:00:00Z,91.89,PCAR,0.007756634727497769,91.2097619047619,1.0074579527567278,-1.0
44,2021-02-03T05:00:00Z,95.67,PCAR,0.040312560177282464,91.73119047619048,1.0429386068507622,-1.0
45,2021-02-04T05:00:00Z,97.1,PCAR,0.014836605607203346,92.28595238095238,1.0521644680999274,-1.0
46,2021-02-05T05:00:00Z,96.58,PCAR,-0.005369694851883544,92.65595238095239,1.0423507342832548,-1.0
47,2021-02-08T05:00:00Z,96.77,PCAR,0.0019653484474551064,93.05452380952381,1.0399279480284216,-1.0
48,2021-02-09T05:00:00Z,99.41,PCAR,0.026915683331202978,93.60738095238096,1.061988905026313,-1.0
49,2021-02-10T05:00:00Z,99.6,PCAR,0.0019094523664984209,94.14928571428571,1.0578943774704306,-1.0
50,2021-02-11T05:00:00Z,98.6,PCAR,-0.010090902981962913,94.58452380952382,1.042453839473386,-1.0
51,2021-02-12T05:00:00Z,98.0,PCAR,-0.006103782938017055,95.01547619047618,1.0314109230325887,-1.0
52,2021-02-16T05:00:00Z,97.13,PCAR,-0.008917191256332835,95.39023809523809,1.0182383642131694,-1.0
53,2021-02-17T05:00:00Z,96.045,PCAR,-0.011233455775363943,95.76571428571428,1.002916343457247,-1.0
54,2021-02-18T05:00:00Z,94.85,PCAR,-0.012520135257852338,96.03428571428572,0.9876680947280733,-1.0
55,2021-02-19T05:00:00Z,95.19,PCAR,0.0035781978821907146,96.3104761904762,0.9883659988529161,-1.0
56,2021-02-22T05:00:00Z,94.68,PCAR,-0.0053721096174310645,96.11714285714285,0.9850480068963469,-1.0
57,2021-02-23T05:00:00Z,93.33,PCAR,-0.014361185068127114,95.85428571428572,0.9736653849593131,-1.0
58,2021-02-24T05:00:00Z,94.28,PCAR,0.010127478490274733,95.6802380952381,0.985365440940434,-1.0
59,2021-02-25T05:00:00Z,92.72,PCAR,-0.016684879036434452,95.43785714285714,0.9715222321181323,-1.0
60,2021-02-26T05:00:00Z,90.99,PCAR,-0.018834588662896223,95.1802380952381,0.9559757552713273,1.0
61,2021-03-01T05:00:00Z,93.72,PCAR,0.02956200327099534,95.18833333333335,0.9845744401449756,1.0
62,2021-03-02T05:00:00Z,94.18,PCAR,0.0048962311758131705,95.32928571428572,0.9879440435782738,1.0
63,2021-03-03T05:00:00Z,95.24,PCAR,0.011192176803254128,95.52261904761905,0.9970413389997382,1.0
64,2021-03-04T05:00:00Z,92.4,PCAR,-0.03027304297102429,95.54690476190476,0.9670642940266189,1.0
65,2021-03-05T05:00:00Z,94.15,PCAR,0.018762276455523086,95.47452380952382,0.9861269398717684,1.0
66,2021-03-08T05:00:00Z,93.44,PCAR,-0.007569736023244289,95.30023809523809,0.9804802366455888,1.0
67,2021-03-09T05:00:00Z,95.23,PCAR,0.018975499126037576,95.23595238095238,0.9999374985937184,1.0
68,2021-03-10T05:00:00Z,96.59,PCAR,0.014180197985250054,95.22738095238095,1.0143091097748498,1.0
69,2021-03-11T05:00:00Z,97.75,PCAR,0.011937982674270486,95.14833333333334,1.0273432710329484,1.0
70,2021-03-12T05:00:00Z,96.95,PCAR,-0.008217817176814357,95.02214285714287,1.0202885041832355,1.0
71,2021-03-15T04:00:00Z,99.44,PCAR,0.025359065513795187,95.06214285714286,1.0460525821455138,1.0
72,2021-03-16T04:00:00Z,95.69,PCAR,-0.03844064741128417,94.95214285714285,1.0077708319228484,1.0
73,2021-03-17T04:00:00Z,96.17,PCAR,0.005003658933218524,94.90642857142858,1.0133138655367315,1.0
74,2021-03-18T04:00:00Z,95.12,PCAR,-0.010978206341864194,94.86238095238095,1.002715713489717,1.0
75,2021-03-19T04:00:00Z,95.06,PCAR,-0.0006309811966627166,94.87238095238095,1.0019775939608095,1.0
76,2021-03-22T04:00:00Z,93.58,PCAR,-0.015691585747792836,94.79571428571428,0.9871754298717543,1.0
