,t,c,symbol,returns,ma,ratio,position
0,2020-11-30T05:00:00Z,64.18,RHI,,,,
1,2020-12-01T05:00:00Z,64.78,RHI,0.009305278061471967,,,
2,2020-12-02T05:00:00Z,64.79,RHI,0.00015435671868324619,,,
3,2020-12-03T05:00:00Z,64.69,RHI,-0.001544640405972686,,,
4,2020-12-04T05:00:00Z,65.97,RHI,0.019593463178885884,,,
5,2020-12-07T05:00:00Z,64.53,RHI,-0.022069861287031145,,,
6,2020-12-08T05:00:00Z,64.98,RHI,0.006949298293205786,,,
7,2020-12-09T05:00:00Z,64.61,RHI,-0.005710332670879836,,,
8,2020-12-10T05:00:00Z,64.13,RHI,-0.007456924409303234,,,
9,2020-12-11T05:00:00Z,64.2,RHI,0.0010909375351442208,,,
10,2020-12-14T05:00:00Z,63.08,RHI,-0.01759944860107776,,,
11,2020-12-15T05:00:00Z,63.34,RHI,0.004113279015656168,,,
12,2020-12-16T05:00:00Z,62.6,RHI,-0.011751763004441251,,,
13,2020-12-17T05:00:00Z,62.35,RHI,-0.004001605980007206,,,
14,2020-12-18T05:00:00Z,63.05,RHI,0.011164390284883474,,,
15,2020-12-21T05:00:00Z,62.03,RHI,-0.01630992342590254,,,
16,2020-12-22T05:00:00Z,62.04,RHI,0.00016119932331193354,,,
17,2020-12-23T05:00:00Z,62.27,RHI,0.0037004305760222067,,,
18,2020-12-24T05:00:00Z,62.21,RHI,-0.000964010357431988,,,
19,2020-12-28T05:00:00Z,62.69,RHI,0.007686186758948388,,,
20,2020-12-29T05:00:00Z,62.26,RHI,-0.006882780272414735,63.56095238095238,0.9795322075548031,
21,2020-12-30T05:00:00Z,62.1,RHI,-0.002573176074029071,63.46190476190476,0.9785398064080438,1.0
22,2020-12-31T05:00:00Z,62.48,RHI,0.006100516591997618,63.352380952380955,0.9862297053517738,1.0
23,2021-01-04T05:00:00Z,61.15,RHI,-0.021516643398249435,63.179047619047616,0.967884168952938,1.0
24,2021-01-05T05:00:00Z,62.08,RHI,0.01509401374178232,63.0547619047619,0.9845410263187706,1.0
25,2021-01-06T05:00:00Z,64.12,RHI,0.032332451866389,62.96666666666666,1.0183165696135523,1.0
26,2021-01-07T05:00:00Z,65.07,RHI,0.01470728576554059,62.99238095238095,1.032982068882102,1.0
27,2021-01-08T05:00:00Z,64.37,RHI,-0.010815927442368256,62.96333333333333,1.0223410450526762,1.0
28,2021-01-11T05:00:00Z,63.08,RHI,-0.020243923969687216,62.89047619047619,1.0030135534186415,1.0
29,2021-01-12T05:00:00Z,64.4,RHI,0.020709871015470505,62.903333333333336,1.0237931217211595,1.0
30,2021-01-13T05:00:00Z,63.63,RHI,-0.012028575865607571,62.87619047619047,1.0119887912753711,1.0
31,2021-01-14T05:00:00Z,65.35,RHI,0.02667238282553086,62.98428571428572,1.0375603892127288,1.0
32,2021-01-15T05:00:00Z,63.79,RHI,-0.024161001816367822,63.00571428571429,1.0124478505350987,1.0
33,2021-01-19T05:00:00Z,64.2,RHI,0.006406772442051789,63.08190476190475,1.0177245002717556,1.0
34,2021-01-20T05:00:00Z,66.69,RHI,0.03805180594829949,63.28857142857142,1.0537447519299354,1.0
35,2021-01-21T05:00:00Z,68.08,RHI,0.02062846762090409,63.52809523809525,1.071651837582172,1.0
36,2021-01-22T05:00:00Z,68.31,RHI,0.00337268447863881,63.82714285714286,1.0702343382797288,1.0
37,2021-01-25T05:00:00Z,68.56,RHI,0.0036531055457666994,64.13761904761905,1.0689514362717074,1.0
