,t,c,symbol,returns,ma,ratio,position
0,2020-11-30T05:00:00Z,747.63,SHW,,,,
1,2020-12-01T05:00:00Z,743.26,SHW,-0.005862286976361375,,,
2,2020-12-02T05:00:00Z,715.65,SHW,-0.03785469558061294,,,
3,2020-12-03T05:00:00Z,708.05,SHW,-0.01067650796115771,,,
4,2020-12-04T05:00:00Z,705.91,SHW,-0.003026962055473703,,,
5,2020-12-07T05:00:00Z,710.08,SHW,0.005889889130634707,,,
6,2020-12-08T05:00:00Z,719.26,SHW,0.012845265962345032,,,
7,2020-12-09T05:00:00Z,720.64,SHW,0.0019168003646425902,,,
8,2020-12-10T05:00:00Z,719.82,SHW,-0.0011385253163247455,,,
9,2020-12-11T05:00:00Z,718.61,SHW,-0.0016823902246230205,,,
10,2020-12-14T05:00:00Z,718.85,SHW,0.0003339223383322931,,,
11,2020-12-15T05:00:00Z,722.34,SHW,0.004843229306389141,,,
12,2020-12-16T05:00:00Z,722.49,SHW,0.00020763688536185043,,,
13,2020-12-17T05:00:00Z,726.25,SHW,0.005190729105769343,,,
14,2020-12-18T05:00:00Z,728.23,SHW,0.0027226241998405953,,,
15,2020-12-21T05:00:00Z,729.17,SHW,0.0012899686158203139,,,
16,2020-12-22T05:00:00Z,737.07,SHW,0.010775966344491295,,,
17,2020-12-23T05:00:00Z,724.45,SHW,-0.01727012105954273,,,
18,2020-12-24T05:00:00Z,733.9,SHW,0.012960033284286077,,,
19,2020-12-28T05:00:00Z,729.34,SHW,-0.006232763951206977,,,
20,2020-12-29T05:00:00Z,730.59,SHW,0.0017124112874640218,724.3614285714286,1.0085987066440787,
21,2020-12-30T05:00:00Z,727.13,SHW,-0.0047471482832230905,723.3852380952382,1.005176718721303,
22,2020-12-31T05:00:00Z,734.91,SHW,0.010642764131705285,722.9876190476191,1.0164904358501825,
23,2021-01-04T05:00:00Z,723.47,SHW,-0.015688962624126113,723.36,1.0001520681265208,
24,2021-01-05T05:00:00Z,719.86,SHW,-0.005002331452745423,723.922380952381,0.9943883749704815,
25,2021-01-06T05:00:00Z,722.35,SHW,0.0034530373165058137,724.7052380952381,0.996750074414491,
26,2021-01-07T05:00:00Z,735.13,SHW,0.017537568345958654,725.8980952380953,1.0127179074066541,
27,2021-01-08T05:00:00Z,728.77,SHW,-0.00868917277937431,726.3509523809524,1.0033304115746224,
28,2021-01-11T05:00:00Z,734.94,SHW,0.008430681685674735,727.0319047619048,1.0108772327408178,
29,2021-01-12T05:00:00Z,739.16,SHW,0.005725543081575246,727.9528571428572,1.0153954239579879,
30,2021-01-13T05:00:00Z,728.14,SHW,-0.015021068908985136,728.4066666666668,0.9996339041377984,
31,2021-01-14T05:00:00Z,718.78,SHW,-0.012938007029298149,728.4033333333333,0.9867884551141538,
32,2021-01-15T05:00:00Z,725.55,SHW,0.00937465756615996,728.5561904761905,0.995873769908913,
33,2021-01-19T05:00:00Z,725.61,SHW,8.269246676384512e-05,728.7047619047619,0.995753064798599,
34,2021-01-20T05:00:00Z,736.22,SHW,0.014516306702885728,729.1795238095239,1.009655339954822,
35,2021-01-21T05:00:00Z,736.35,SHW,0.00017656206541971642,729.5661904761905,1.0092984154314795,
36,2021-01-22T05:00:00Z,732.17,SHW,-0.005692821737336651,729.7090476190476,1.0033725118099908,
37,2021-01-25T05:00:00Z,734.28,SHW,0.00287769982761521,729.5761904761905,1.0064473177513362,
38,2021-01-26T05:00:00Z,723.64,SHW,-0.014596396109388898,729.537619047619,0.9919159493717156,
39,2021-01-27T05:00:00Z,717.54,SHW,-0.008465335944289443,728.7585714285715,0.9846059149512575,
40,2021-01-28T05:00:00Z,712.05,SHW,-0.007680561543334186,727.9352380952381,0.9781776767164007,
41,2021-01-29T05:00:00Z,691.8,SHW,-0.02885123716236837,726.0880952380952,0.9527769488813177,
42,2021-02-01T05:00:00Z,698.1,SHW,0.009065462473287766,724.7057142857143,0.9632875610592674,
43,2021-02-02T05:00:00Z,710.54,SHW,0.01766288535752647,723.5452380952381,0.9820256738480168,
44,2021-02-03T05:00:00Z,701.34,SHW,-0.01303245348614901,722.4914285714285,0.9707243190230632,
45,2021-02-04T05:00:00Z,710.32,SHW,0.012722781876338018,722.0371428571428,0.983772105115289,
46,2021-02-05T05:00:00Z,716.58,SHW,0.008774322184319061,721.7623809523809,0.9928198239626418,
47,2021-02-08T05:00:00Z,724.01,SHW,0.010315309536634842,721.2328571428571,1.0038505495550278,
48,2021-02-09T05:00:00Z,713.01,SHW,-0.015309758883640612,720.4823809523809,0.9896286416574082,
49,2021-02-10T05:00:00Z,712.32,SHW,-0.0009681969142594227,719.4052380952381,0.9901512558985565,
50,2021-02-11T05:00:00Z,719.29,SHW,0.009737365724429736,718.4590476190476,1.0011565758461893,
51,2021-02-12T05:00:00Z,721.05,SHW,0.002443868636524016,718.1214285714285,1.0040781005997792,
52,2021-02-16T05:00:00Z,707.42,SHW,-0.019083934089003662,717.5804761904762,0.9858406457148657,
53,2021-02-17T05:00:00Z,721.4,SHW,0.019569219550362504,717.3828571428571,1.0055997196157462,
54,2021-02-18T05:00:00Z,726.76,SHW,0.007402530764801796,717.437619047619,1.0129939951640063,
55,2021-02-19T05:00:00Z,716.91,SHW,-0.013645989525844726,716.5180952380952,1.0005469572429635,
56,2021-02-22T05:00:00Z,708.63,SHW,-0.011616781170668666,715.1980952380952,0.9908163971886577,
57,2021-02-23T05:00:00Z,696.59,SHW,-0.017136526149577946,713.5038095238095,0.9762947172838534,
58,2021-02-24T05:00:00Z,682.03,SHW,-0.02112335724234704,711.0157142857142,0.9592333703695518,
59,2021-02-25T05:00:00Z,673.17,SHW,-0.013075747101980895,708.6123809523809,0.9499834014969565,
60,2021-02-26T05:00:00Z,680.34,SHW,0.010594775167982462,706.8409523809523,0.9625078989952613,
61,2021-03-01T05:00:00Z,693.84,SHW,0.01964871316439698,705.9738095238096,0.982812663359291,
62,2021-03-02T05:00:00Z,689.68,SHW,-0.006013664474530778,705.8728571428571,0.97705981044745,
63,2021-03-03T05:00:00Z,673.21,SHW,-0.024170405268725048,704.687619047619,0.9553311024675575,
64,2021-03-04T05:00:00Z,659.56,SHW,-0.020484370600176938,702.26,0.9391963090593227,
65,2021-03-05T05:00:00Z,675.69,SHW,0.024161444948629374,701.0385714285715,0.963841402653614,
66,2021-03-08T05:00:00Z,688.11,SHW,0.018214317892836895,699.9809523809524,0.9830410351302076,
67,2021-03-09T05:00:00Z,706.04,SHW,0.0257231842378447,699.4790476190476,1.0093797697061622,
68,2021-03-10T05:00:00Z,706.1,SHW,8.497741022317484e-05,698.6261904761905,1.0106978662204396,
69,2021-03-11T05:00:00Z,704.0,SHW,-0.0029785143642593326,698.1971428571428,1.0083112015026456,
70,2021-03-12T05:00:00Z,708.13,SHW,0.005849336499565538,697.9976190476191,1.0145163546062035,
71,2021-03-15T04:00:00Z,716.97,SHW,0.012406306062469064,697.8871428571429,1.0273437579960738,
72,2021-03-16T04:00:00Z,717.05,SHW,0.0001115744551443143,697.6966666666666,1.0277388932152942,
73,2021-03-17T04:00:00Z,712.36,SHW,-0.006562171567416009,697.9319047619048,1.0206726403244415,
74,2021-03-18T04:00:00Z,710.13,SHW,-0.003135349741396176,697.395238095238,1.0182604658149714,
75,2021-03-19T04:00:00Z,706.25,SHW,-0.005478769405757866,696.4185714285715,1.0141171257843702,
76,2021-03-22T04:00:00Z,720.24,SHW,0.01961520733957034,696.5771428571429,1.0339701889237987,
77,2021-03-23T04:00:00Z,725.94,SHW,0.007882876981220477,697.4014285714286,1.0409212976334599,
78,2021-03-24T04:00:00Z,724.15,SHW,-0.0024688135345769524,698.7138095238096,1.0364043047804161,
79,2021-03-25T04:00:00Z,739.21,SHW,0.020583495127633356,701.4366666666667,1.053851381212844,
