,t,c,symbol,returns,ma,ratio,position
0,2020-11-30T05:00:00Z,179.53,TGT,,,,
1,2020-12-01T05:00:00Z,179.05,TGT,-0.0026772284382960976,,,
2,2020-12-02T05:00:00Z,176.41,TGT,-0.014854265136126976,,,
3,2020-12-03T05:00:00Z,174.92,TGT,-0.00848210476359501,,,
4,2020-12-04T05:00:00Z,175.03,TGT,0.0006286612580241879,,,
5,2020-12-07T05:00:00Z,172.91,TGT,-0.012186159886045544,,,
6,2020-12-08T05:00:00Z,172.72,TGT,-0.0010994417101466425,,,
7,2020-12-09T05:00:00Z,174.07,TGT,0.007785730958065784,,,
8,2020-12-10T05:00:00Z,172.4,TGT,-0.009640158935024346,,,
9,2020-12-11T05:00:00Z,171.71,TGT,-0.004010350903882021,,,
10,2020-12-14T05:00:00Z,170.99,TGT,-0.004201932065209135,,,
11,2020-12-15T05:00:00Z,171.41,TGT,0.0024532722584638122,,,
12,2020-12-16T05:00:00Z,171.69,TGT,0.0016321775701548802,,,
13,2020-12-17T05:00:00Z,171.24,TGT,-0.0026244438123752545,,,
14,2020-12-18T05:00:00Z,170.42,TGT,-0.0048001028769357745,,,
15,2020-12-21T05:00:00Z,171.76,TGT,0.007832175170715772,,,
16,2020-12-22T05:00:00Z,172.35,TGT,0.003429139392348901,,,
17,2020-12-23T05:00:00Z,174.91,TGT,0.01474426295609721,,,
18,2020-12-24T05:00:00Z,175.19,TGT,0.0015995433287594452,,,
19,2020-12-28T05:00:00Z,176.39,TGT,0.006826353375654293,,,
20,2020-12-29T05:00:00Z,175.04,TGT,-0.007682933389768998,173.81619047619046,1.0070408258313381,
21,2020-12-30T05:00:00Z,173.88,TGT,-0.006649113113025074,173.54714285714286,1.0019179638303302,
22,2020-12-31T05:00:00Z,176.53,TGT,0.015125427480600528,173.42714285714288,1.0178914159095214,
23,2021-01-04T05:00:00Z,177.63,TGT,0.006211901610602588,173.4852380952381,1.023891150338028,
24,2021-01-05T05:00:00Z,180.37,TGT,0.015307561470313757,173.74476190476193,1.0381320163129275,
25,2021-01-06T05:00:00Z,188.92,TGT,0.0463133483458078,174.40619047619046,1.0832184309753095,
26,2021-01-07T05:00:00Z,191.1,TGT,0.011473206218311383,175.27238095238096,1.0903029841987437,-1.0
27,2021-01-08T05:00:00Z,193.6,TGT,0.012997323596249721,176.26666666666665,1.0983358547655069,-1.0
28,2021-01-11T05:00:00Z,195.28,TGT,0.00864025124222767,177.27666666666667,1.1015550081793053,-1.0
29,2021-01-12T05:00:00Z,199.1,TGT,0.019372784985446145,178.54809523809521,1.1151057071457338,-1.0
30,2021-01-13T05:00:00Z,196.82,TGT,-0.011517605599311587,179.74380952380952,1.095002940693368,-1.0
