,t,c,symbol,returns,ma,ratio,position
0,2020-11-30T05:00:00Z,171.07,UPS,,,,
1,2020-12-01T05:00:00Z,167.96,UPS,-0.018346973648207587,,,
2,2020-12-02T05:00:00Z,168.83,UPS,0.005166435673110037,,,
3,2020-12-03T05:00:00Z,167.83,UPS,-0.00594072916901478,,,
4,2020-12-04T05:00:00Z,167.25,UPS,-0.003461863311749802,,,
5,2020-12-07T05:00:00Z,167.47,UPS,0.001314531738048963,,,
6,2020-12-08T05:00:00Z,166.39,UPS,-0.006469800318971153,,,
7,2020-12-09T05:00:00Z,169.18,UPS,0.01662880644845277,,,
8,2020-12-10T05:00:00Z,164.24,UPS,-0.029634464165190444,,,
9,2020-12-11T05:00:00Z,168.4,UPS,0.025013329097547832,,,
10,2020-12-14T05:00:00Z,166.62,UPS,-0.010626331261462951,,,
11,2020-12-15T05:00:00Z,167.17,UPS,0.0032954881677760284,,,
12,2020-12-16T05:00:00Z,170.13,UPS,0.017551591979507286,,,
13,2020-12-17T05:00:00Z,174.49,UPS,0.025304582716092483,,,
14,2020-12-18T05:00:00Z,175.18,UPS,0.003946583324804465,,,
15,2020-12-21T05:00:00Z,172.59,UPS,-0.014895177191631248,,,
16,2020-12-22T05:00:00Z,174.56,UPS,0.011349682541448303,,,
17,2020-12-23T05:00:00Z,172.64,UPS,-0.011060020574936047,,,
18,2020-12-24T05:00:00Z,172.19,UPS,-0.0026099832117294497,,,
19,2020-12-28T05:00:00Z,171.36,UPS,-0.004831911598656369,,,
20,2020-12-29T05:00:00Z,169.03,UPS,-0.013690392737352397,169.74190476190475,0.9958059575041099,
21,2020-12-30T05:00:00Z,166.23,UPS,-0.016703842414718117,169.51142857142855,0.9806418446291022,
22,2020-12-31T05:00:00Z,168.4,UPS,0.012969730260858015,169.53238095238095,0.993320562443472,
23,2021-01-04T05:00:00Z,163.8,UPS,-0.027695930389256773,169.29285714285714,0.9675541116408591,
24,2021-01-05T05:00:00Z,161.52,UPS,-0.014017197414387006,168.99238095238096,0.9557827346400515,
25,2021-01-06T05:00:00Z,161.04,UPS,-0.00297619267304583,168.69666666666666,0.9546128159023098,
26,2021-01-07T05:00:00Z,159.0,UPS,-0.012748579111304892,168.29333333333335,0.94477895737601,
27,2021-01-08T05:00:00Z,158.39,UPS,-0.0038438561459024356,167.91238095238094,0.9432895841368514,1.0
28,2021-01-11T05:00:00Z,161.86,UPS,0.021671417993227138,167.56380952380954,0.9659603733048391,1.0
29,2021-01-12T05:00:00Z,163.91,UPS,0.012585732633712432,167.54809523809524,0.9782862632193741,1.0
30,2021-01-13T05:00:00Z,163.11,UPS,-0.004892676875329904,167.29619047619047,0.9749773711865469,1.0
31,2021-01-14T05:00:00Z,163.47,UPS,0.002204667437178287,167.14619047619047,0.9780061366297539,1.0
32,2021-01-15T05:00:00Z,158.9,UPS,-0.02835441372044656,166.75238095238097,0.9529099320349533,1.0
33,2021-01-19T05:00:00Z,156.28,UPS,-0.016625803355800883,166.09285714285716,0.9409194512536017,1.0
34,2021-01-20T05:00:00Z,159.84,UPS,0.022524044713374103,165.39523809523808,0.9664123456079233,1.0
35,2021-01-21T05:00:00Z,160.1,UPS,0.0016253051024248677,164.67714285714288,0.9722053541995591,1.0
36,2021-01-22T05:00:00Z,158.99,UPS,-0.006957312842050811,164.0295238095238,0.9692767271861629,1.0
37,2021-01-25T05:00:00Z,161.75,UPS,0.017210626220392378,163.4195238095238,0.9897838167031392,1.0
38,2021-01-26T05:00:00Z,161.43,UPS,-0.0019803212115725444,162.88571428571427,0.991062971408525,1.0
39,2021-01-27T05:00:00Z,157.65,UPS,-0.023694226178367472,162.19333333333333,0.9719881622754738,1.0
40,2021-01-28T05:00:00Z,157.27,UPS,-0.0024133124884357926,161.52238095238096,0.9736731162127024,1.0
41,2021-01-29T05:00:00Z,155.0,UPS,-0.014538956583387552,160.8542857142857,0.9636050373896518,1.0
42,2021-02-01T05:00:00Z,156.26,UPS,0.008096169649351559,160.37952380952382,0.974313904221237,1.0
43,2021-02-02T05:00:00Z,160.29,UPS,0.02546338806919124,159.99333333333334,1.00185424392683,1.0
44,2021-02-03T05:00:00Z,159.71,UPS,-0.0036250039695717717,159.79857142857142,0.999445730786079,1.0
45,2021-02-04T05:00:00Z,162.26,UPS,0.015840316298700863,159.83380952380952,1.015179457233853,1.0
