,t,c,symbol,returns,ma,ratio,position
0,2020-11-30T05:00:00Z,139.65,VMC,,,,
1,2020-12-01T05:00:00Z,143.35,VMC,0.02614989993819261,,,
2,2020-12-02T05:00:00Z,140.84,VMC,-0.017664698042526794,,,
3,2020-12-03T05:00:00Z,144.57,VMC,0.02613932503349936,,,
4,2020-12-04T05:00:00Z,146.44,VMC,0.01285196893168461,,,
5,2020-12-07T05:00:00Z,146.08,VMC,-0.002461371405376944,,,
6,2020-12-08T05:00:00Z,144.45,VMC,-0.011220989934414227,,,
7,2020-12-09T05:00:00Z,141.75,VMC,-0.018868484304382704,,,
8,2020-12-10T05:00:00Z,137.76,VMC,-0.02855190192844148,,,
9,2020-12-11T05:00:00Z,138.88,VMC,0.00809721023262,,,
10,2020-12-14T05:00:00Z,135.44,VMC,-0.025081513087160445,,,
11,2020-12-15T05:00:00Z,137.44,VMC,0.014658720411065751,,,
12,2020-12-16T05:00:00Z,137.69,VMC,0.001817323220335787,,,
13,2020-12-17T05:00:00Z,139.54,VMC,0.013346517054809048,,,
14,2020-12-18T05:00:00Z,145.22,VMC,0.03989853544101063,,,
15,2020-12-21T05:00:00Z,144.54,VMC,-0.004693548097265854,,,
16,2020-12-22T05:00:00Z,143.27,VMC,-0.008825323949554154,,,
17,2020-12-23T05:00:00Z,142.71,VMC,-0.003916362792980799,,,
18,2020-12-24T05:00:00Z,143.22,VMC,0.0035673104664937227,,,
19,2020-12-28T05:00:00Z,146.17,VMC,0.020388418322407453,,,
20,2020-12-29T05:00:00Z,142.77,VMC,-0.0235353841000725,141.9895238095238,1.005496716726251,
21,2020-12-30T05:00:00Z,146.47,VMC,0.025585685529087243,142.31428571428572,1.0292009636619153,
22,2020-12-31T05:00:00Z,148.31,VMC,0.012484048423655025,142.5504761904762,1.040403399297158,
23,2021-01-04T05:00:00Z,146.53,VMC,-0.012074492103937295,142.82142857142858,1.0259664916229057,
24,2021-01-05T05:00:00Z,147.57,VMC,0.0070724538254243186,142.96428571428572,1.0322158381214088,
25,2021-01-06T05:00:00Z,160.76,VMC,0.0856099301056421,143.6461904761905,1.1191386243316082,-1.0
26,2021-01-07T05:00:00Z,162.01,VMC,0.007745492141326693,144.4047619047619,1.1219159109645507,-1.0
27,2021-01-08T05:00:00Z,162.83,VMC,0.005048650053802284,145.27999999999997,1.120801211453745,-1.0
28,2021-01-11T05:00:00Z,163.0,VMC,0.0010434890306330047,146.29190476190473,1.1142106616581984,-1.0
29,2021-01-12T05:00:00Z,166.2,VMC,0.019441681614585704,147.6461904761905,1.125663990814592,-1.0
30,2021-01-13T05:00:00Z,161.6,VMC,-0.028067736334352666,148.72809523809525,1.086546558276689,-1.0
31,2021-01-14T05:00:00Z,160.62,VMC,-0.006082819326679534,149.92714285714285,1.071320355601292,-1.0
32,2021-01-15T05:00:00Z,160.92,VMC,0.0018660203212714777,151.0452380952381,1.0653761881492456,-1.0
33,2021-01-19T05:00:00Z,158.86,VMC,-0.012884035876600919,152.05333333333334,1.0447649947386881,-1.0
34,2021-01-20T05:00:00Z,160.62,VMC,0.011018015555329441,153.05714285714285,1.049411984319582,-1.0
35,2021-01-21T05:00:00Z,158.86,VMC,-0.011018015555329441,153.70666666666668,1.0335270645385148,-1.0
36,2021-01-22T05:00:00Z,158.37,VMC,-0.0030892437013516627,154.3652380952381,1.0259434180530405,-1.0
37,2021-01-25T05:00:00Z,156.81,VMC,-0.009899186110694735,155.01,1.0116121540545773,-1.0
38,2021-01-26T05:00:00Z,150.5,VMC,-0.04107179720401,155.38095238095238,0.9685871897027276,-1.0
39,2021-01-27T05:00:00Z,146.03,VMC,-0.03015100413654981,155.5147619047619,0.939010536436596,1.0
40,2021-01-28T05:00:00Z,148.96,VMC,0.019865733476376768,155.64761904761906,0.9570335923637031,1.0
41,2021-01-29T05:00:00Z,149.14,VMC,0.0012076485868917075,155.95095238095237,0.9563263174929846,1.0
42,2021-02-01T05:00:00Z,152.0,VMC,0.01899505873062779,156.21428571428572,0.9730224051211706,1.0
43,2021-02-02T05:00:00Z,151.93,VMC,-0.00046063239060156747,156.38666666666666,0.9715022593571491,1.0
44,2021-02-03T05:00:00Z,152.35,VMC,0.0027606169760430177,156.6638095238095,0.9724645434263239,1.0
45,2021-02-04T05:00:00Z,153.15,VMC,0.005237327847066098,156.9295238095238,0.9759157887070934,1.0
46,2021-02-05T05:00:00Z,152.94,VMC,-0.0013721456627049378,156.55714285714285,0.9768957021626061,1.0
47,2021-02-08T05:00:00Z,154.18,VMC,0.008075063415037498,156.18428571428572,0.9871671743087378,1.0
48,2021-02-09T05:00:00Z,155.65,VMC,0.009489145856500514,155.84238095238095,0.9987655414964449,1.0
49,2021-02-10T05:00:00Z,159.24,VMC,0.022802601244499066,155.66333333333336,1.0229769374076532,1.0
50,2021-02-11T05:00:00Z,160.06,VMC,0.0051362468067841505,155.3709523809524,1.0301796928395637,1.0
51,2021-02-12T05:00:00Z,164.5,VMC,0.027361825266526196,155.50904761904764,1.0578162654752898,1.0
52,2021-02-16T05:00:00Z,162.45,VMC,-0.012540308090317254,155.5961904761905,1.0440486974831062,1.0
53,2021-02-17T05:00:00Z,161.88,VMC,-0.0035149421074445186,155.64190476190475,1.0400797924417466,1.0
54,2021-02-18T05:00:00Z,160.62,VMC,-0.007813993247348883,155.72571428571428,1.0314288859533247,1.0
55,2021-02-19T05:00:00Z,164.38,VMC,0.023139493960037782,155.9047619047619,1.0543616371411118,1.0
56,2021-02-22T05:00:00Z,161.99,VMC,-0.01464621578830716,156.05380952380952,1.0380393820202434,1.0
57,2021-02-23T05:00:00Z,165.99,VMC,0.024392940646081662,156.41666666666666,1.0612040490143848,1.0
58,2021-02-24T05:00:00Z,174.15,VMC,0.04798945123388254,157.24238095238096,1.1075258396954657,-1.0
59,2021-02-25T05:00:00Z,168.28,VMC,-0.034287738089690656,158.08904761904762,1.0644633675415,-1.0
60,2021-02-26T05:00:00Z,166.99,VMC,-0.007695328337979035,159.08714285714285,1.049676278050664,-1.0
61,2021-03-01T05:00:00Z,171.96,VMC,0.02932796124374004,160.18238095238095,1.0735263078098478,-1.0
62,2021-03-02T05:00:00Z,168.94,VMC,-0.01771826932873033,161.1252380952381,1.0485011659076198,-1.0
63,2021-03-03T05:00:00Z,170.26,VMC,0.00778305815656033,161.9947619047619,1.0510216379718333,-1.0
64,2021-03-04T05:00:00Z,166.0,VMC,-0.02533889209936735,162.66476190476192,1.020503752971346,-1.0
65,2021-03-05T05:00:00Z,167.42,VMC,0.008517836875366669,163.38238095238094,1.024712695604527,-1.0
66,2021-03-08T05:00:00Z,169.1,VMC,0.009984630672624561,164.14190476190475,1.0302061514717231,-1.0
67,2021-03-09T05:00:00Z,167.82,VMC,-0.007598279462611934,164.8504761904762,1.018013437862883,-1.0
68,2021-03-10T05:00:00Z,171.34,VMC,0.020757910093974985,165.66761904761904,1.0342395272231837,-1.0
69,2021-03-11T05:00:00Z,171.93,VMC,0.0034375306958578378,166.44285714285715,1.0329671272852117,-1.0
70,2021-03-12T05:00:00Z,171.94,VMC,5.8161514542298676e-05,167.04761904761904,1.0292873432155074,-1.0
71,2021-03-15T04:00:00Z,172.49,VMC,0.0031936850302392017,167.6395238095238,1.028933965453084,-1.0
72,2021-03-16T04:00:00Z,168.56,VMC,-0.02304749428060404,167.83285714285714,1.0043325417294418,-1.0
73,2021-03-17T04:00:00Z,168.63,VMC,0.0004151961861600384,168.12714285714287,1.0029909337321243,-1.0
74,2021-03-18T04:00:00Z,168.05,VMC,-0.0034454115109783245,168.4209523809524,0.9977974689270648,-1.0
75,2021-03-19T04:00:00Z,165.27,VMC,-0.01668105401838016,168.64238095238096,0.9800027671968579,-1.0
76,2021-03-22T04:00:00Z,162.04,VMC,-0.0197372818182453,168.53095238095239,0.9614851023550852,-1.0
77,2021-03-23T04:00:00Z,158.41,VMC,-0.022656609633730618,168.36047619047616,0.9408977901724476,1.0
78,2021-03-24T04:00:00Z,160.55,VMC,0.013418811834764455,168.10142857142858,0.9550781415981847,1.0
79,2021-03-25T04:00:00Z,165.59,VMC,0.030909433118869956,167.69380952380953,0.9874544592326717,1.0
80,2021-03-26T04:00:00Z,170.34,VMC,0.02828158605854192,167.79190476190473,1.0151860439376441,1.0
81,2021-03-29T04:00:00Z,170.9,VMC,0.0032821504086104625,167.97809523809525,1.0173945582473904,1.0
82,2021-03-30T04:00:00Z,172.23,VMC,0.007752202726109658,167.99095238095236,1.0252337852662134,1.0
83,2021-03-31T04:00:00Z,168.75,VMC,-0.020412463095015987,167.98190476190476,1.0045724879663909,1.0
84,2021-04-01T04:00:00Z,166.39,VMC,-0.01408389932522347,167.79761904761904,0.9916112096488117,1.0
85,2021-04-05T04:00:00Z,170.29,VMC,0.023168435611097493,168.00190476190477,1.0136194600968242,1.0
86,2021-04-06T04:00:00Z,170.63,VMC,0.0019946035006599416,168.1547619047619,1.01472,1.0
87,2021-04-07T04:00:00Z,168.91,VMC,-0.010131440846919304,168.1457142857143,1.0045453773087967,1.0
88,2021-04-08T04:00:00Z,170.35,VMC,0.008489115414721304,168.26619047619047,1.0123840060674838,1.0
89,2021-04-09T04:00:00Z,172.53,VMC,0.012715990286797485,168.32285714285712,1.0249944833907627,1.0
90,2021-04-12T04:00:00Z,174.35,VMC,0.010493638727887777,168.43809523809523,1.0350983829017302,1.0
91,2021-04-13T04:00:00Z,172.64,VMC,-0.00985627161183622,168.4714285714286,1.0247434919019756,1.0
92,2021-04-14T04:00:00Z,174.08,VMC,0.008306462157753103,168.54714285714286,1.032826763177746,1.0
93,2021-04-15T04:00:00Z,174.75,VMC,0.0038414174463419215,168.84190476190477,1.0349918774395883,1.0
94,2021-04-16T04:00:00Z,175.67,VMC,0.005250853911372033,169.17714285714288,1.0383790447882184,1.0
95,2021-04-19T04:00:00Z,176.74,VMC,0.006072491064567309,169.5909523809524,1.0421546522304368,1.0
96,2021-04-20T04:00:00Z,174.51,VMC,-0.012697679499078518,170.03095238095239,1.026342542674303,1.0
