,t,c,symbol,returns,ma,ratio,position
0,2020-11-30T05:00:00Z,65.13,WRB,,,,
1,2020-12-01T05:00:00Z,67.54,WRB,0.03633474239911205,,,
2,2020-12-02T05:00:00Z,67.28,WRB,-0.003856999292729313,,,
3,2020-12-03T05:00:00Z,66.95,WRB,-0.004916943527510931,,,
4,2020-12-04T05:00:00Z,67.59,WRB,0.009513970975080888,,,
5,2020-12-07T05:00:00Z,65.21,WRB,-0.03584721170715177,,,
6,2020-12-08T05:00:00Z,65.11,WRB,-0.0015346841563399494,,,
7,2020-12-09T05:00:00Z,65.07,WRB,-0.0006145337418779206,,,
8,2020-12-10T05:00:00Z,64.84,WRB,-0.0035409166394178015,,,
9,2020-12-11T05:00:00Z,64.79,WRB,-0.0007714264056088993,,,
10,2020-12-14T05:00:00Z,64.11,WRB,-0.010550912462700346,,,
11,2020-12-15T05:00:00Z,65.77,WRB,0.02556344931409349,,,
12,2020-12-16T05:00:00Z,66.04,WRB,0.004096811738667938,,,
13,2020-12-17T05:00:00Z,66.74,WRB,0.010543854271300113,,,
14,2020-12-18T05:00:00Z,66.28,WRB,-0.006916280764865057,,,
15,2020-12-21T05:00:00Z,65.45,WRB,-0.012601700202453436,,,
16,2020-12-22T05:00:00Z,65.38,WRB,-0.001070091059844458,,,
17,2020-12-23T05:00:00Z,65.98,WRB,0.009135264504370966,,,
18,2020-12-24T05:00:00Z,66.1,WRB,0.0018170810572053497,,,
19,2020-12-28T05:00:00Z,66.09,WRB,-0.0001512973752797464,,,
20,2020-12-29T05:00:00Z,65.73,WRB,-0.005462007206876507,65.86571428571429,0.9979395306467704,
21,2020-12-30T05:00:00Z,66.1,WRB,0.005613304582156253,65.91190476190476,1.0028537369504749,
22,2020-12-31T05:00:00Z,66.42,WRB,0.004829469090959826,65.85857142857142,1.0085247608511747,
23,2021-01-04T05:00:00Z,64.94,WRB,-0.022534449273901025,65.74714285714286,0.987723529539578,
24,2021-01-05T05:00:00Z,64.38,WRB,-0.008660740804037559,65.6247619047619,0.981032130728819,
25,2021-01-06T05:00:00Z,66.59,WRB,0.033751390251868685,65.57714285714285,1.015445277100035,
26,2021-01-07T05:00:00Z,66.01,WRB,-0.008748170421851498,65.6152380952381,1.0060163144449605,
27,2021-01-08T05:00:00Z,66.36,WRB,0.0052882196215646715,65.67476190476191,1.0104338116403344,
28,2021-01-11T05:00:00Z,66.37,WRB,0.00015068183558941683,65.73666666666665,1.0096343998783026,
29,2021-01-12T05:00:00Z,67.25,WRB,0.013171871324114903,65.85142857142857,1.021238285317598,
30,2021-01-13T05:00:00Z,66.56,WRB,-0.010313221968995201,65.93571428571428,1.0094680966309175,
31,2021-01-14T05:00:00Z,66.01,WRB,-0.00829755081227379,66.02619047619048,0.9997547870614114,
32,2021-01-15T05:00:00Z,66.14,WRB,0.001967461852967034,66.04380952380951,1.0014564646843367,
33,2021-01-19T05:00:00Z,65.62,WRB,-0.007893180020690949,66.02380952380952,0.9938838802740716,
34,2021-01-20T05:00:00Z,66.66,WRB,0.015724545346638585,66.02,1.0096940321114813,
35,2021-01-21T05:00:00Z,66.59,WRB,-0.001050656757063173,66.03476190476191,1.0084082698145997,
36,2021-01-22T05:00:00Z,65.88,WRB,-0.010719510813091304,66.05523809523808,0.9973470976671762,
37,2021-01-25T05:00:00Z,66.06,WRB,0.002728514653203895,66.08761904761906,0.9995820843901313,
38,2021-01-26T05:00:00Z,64.95,WRB,-0.016945676846034985,66.03857142857143,0.983516126938802,
39,2021-01-27T05:00:00Z,61.64,WRB,-0.0523067326646931,65.82619047619048,0.9364053966072269,1.0
40,2021-01-28T05:00:00Z,63.26,WRB,0.025942207425587505,65.69142857142857,0.9629871259568545,1.0
41,2021-01-29T05:00:00Z,62.14,WRB,-0.017863313912601875,65.52047619047619,0.9484058055278975,1.0
